name,checkpoint,n_action_steps,n_episodes,mean,ci95,success_pct
act_pusht_baseline,20000,16,5000,76.43,1.74,7.24
act_pusht_baseline,40000,16,5000,94.46,1.84,15.22
act_pusht_baseline,60000,16,5000,93.37,1.85,10.54
act_pusht_baseline,80000,16,5000,100.11,1.84,15.06
act_pusht_baseline,100000,16,5000,104.99,1.9,20.02
act_pusht_baseline,100000,24,200,86.54,9.2,19.0
act_pusht_baseline,100000,32,200,77.08,8.25,10.0
act_pusht_bs64_chunk32_dec7,20000,16,5000,126.62,1.81,28.18
act_pusht_bs64_chunk32_dec7,40000,16,5000,141.41,1.84,45.54
act_pusht_bs64_chunk32_dec7,60000,16,5000,143.03,1.85,48.2
act_pusht_bs64_chunk32_dec7,80000,16,5000,146.11,1.86,50.74
act_pusht_bs64_chunk32_dec7,100000,16,5000,149.07,1.9,55.24
act_pusht_bs64_chunk32_dec7_200k,120000,16,5000,147.71,1.91,53.84
act_pusht_bs64_chunk32_dec7_200k,140000,16,5000,148.55,1.88,55.16
act_pusht_bs64_chunk32_dec7_200k,160000,16,5000,150.01,1.94,58.74
act_pusht_bs64_chunk32_dec7_200k,180000,16,5000,152.98,1.87,59.5
act_pusht_bs64_chunk32_dec7_200k,200000,16,5000,151.25,1.91,57.64
act_pusht_bs64_chunk32_dec7_seed1001,20000,16,5000,131.25,1.73,30.14
act_pusht_bs64_chunk32_dec7_seed1001,40000,16,5000,146.11,1.77,47.56
act_pusht_bs64_chunk32_dec7_seed1001,60000,16,5000,149.62,1.75,50.84
act_pusht_bs64_chunk32_dec7_seed1001,80000,16,5000,153.03,1.82,57.04
act_pusht_bs64_chunk32_dec7_seed1001,100000,16,5000,154.51,1.8,58.26
act_pusht_bs64_chunk32_dec7_seed1001_200k,120000,16,5000,153.66,1.83,55.42
act_pusht_bs64_chunk32_dec7_seed1001_200k,140000,16,5000,155.23,1.82,59.2
act_pusht_bs64_chunk32_dec7_seed1001_200k,160000,16,5000,159.33,1.79,62.66
act_pusht_bs64_chunk32_dec7_seed1001_200k,180000,16,5000,158.4,1.8,61.28
act_pusht_bs64_chunk32_dec7_seed1001_200k,200000,16,5000,158.27,1.81,61.48
act_pusht_bs64_chunk32_dec7_seed1002,20000,16,5000,128.32,1.76,28.68
act_pusht_bs64_chunk32_dec7_seed1002,40000,16,5000,134.45,1.81,36.26
act_pusht_bs64_chunk32_dec7_seed1002,60000,16,5000,144.68,1.81,46.64
